      Time          Predicted AE
2013/152-00:00:00      260.4
2013/152-00:10:00      243.7
2013/152-00:20:00      232.0
2013/152-00:30:00      219.4
2013/152-00:40:00      198.0
2013/152-00:50:00      176.7
2013/152-01:00:00      157.7
2013/152-01:10:00      162.5
2013/152-01:20:00      188.4
2013/152-01:30:00      233.9
2013/152-01:40:00      288.1
2013/152-01:50:00      352.2
2013/152-02:00:00      487.5
2013/152-02:10:00      625.2
2013/152-02:20:00      737.4
2013/152-02:30:00      847.0
2013/152-02:40:00      936.2
2013/152-02:50:00     1002.2
2013/152-03:00:00     1056.5
2013/152-03:10:00     1097.2
2013/152-03:20:00     1123.6
2013/152-03:30:00     1137.5
2013/152-03:40:00     1130.8
2013/152-03:50:00     1101.2
2013/152-04:00:00     1057.5
2013/152-04:10:00     1000.5
2013/152-04:20:00      953.0
2013/152-04:30:00      915.3
2013/152-04:40:00      882.1
2013/152-04:50:00      859.2
2013/152-05:00:00      843.8
2013/152-05:10:00      835.8
2013/152-05:20:00      839.2
2013/152-05:30:00      851.3
2013/152-05:40:00      868.7
2013/152-05:50:00      895.1
2013/152-06:00:00      917.1
2013/152-06:10:00      930.5
2013/152-06:20:00      949.2
2013/152-06:30:00      963.3
2013/152-06:40:00      968.5
2013/152-06:50:00      975.5
2013/152-07:00:00      980.5
2013/152-07:10:00      982.1
2013/152-07:20:00      981.9
2013/152-07:30:00      971.5
2013/152-07:40:00      961.6
2013/152-07:50:00      937.4
2013/152-08:00:00      880.4
2013/152-08:10:00      822.8
2013/152-08:20:00      786.2
2013/152-08:30:00      733.0
2013/152-08:40:00      654.8
2013/152-08:50:00      574.9
2013/152-09:00:00      524.9
2013/152-09:10:00      541.2
2013/152-09:20:00      552.5
2013/152-09:30:00      566.3
2013/152-09:40:00      590.4
2013/152-09:50:00      582.1
2013/152-10:00:00      578.5
2013/152-10:10:00      577.0
2013/152-10:20:00      577.5
2013/152-10:30:00      598.9
2013/152-10:40:00      642.5
2013/152-10:50:00      627.7
2013/152-11:00:00      629.0
2013/152-11:10:00      619.8
2013/152-11:20:00      602.3
2013/152-11:30:00      584.7
2013/152-11:40:00      616.4
2013/152-11:50:00      654.4
2013/152-12:00:00      706.4
2013/152-12:10:00      750.9
2013/152-12:20:00      760.8
2013/152-12:30:00      744.9
2013/152-12:40:00      743.5
2013/152-12:50:00      728.2
2013/152-13:00:00      685.9
2013/152-13:10:00      640.1
2013/152-13:20:00      600.9
2013/152-13:30:00      554.8
2013/152-13:40:00      490.7
2013/152-13:50:00      412.8
2013/152-14:00:00      347.4
2013/152-14:10:00      296.4
2013/152-14:20:00      262.0
2013/152-14:30:00      240.9
2013/152-14:40:00      255.4
2013/152-14:50:00      264.5
2013/152-15:00:00      252.8
2013/152-15:10:00      236.8
2013/152-15:20:00      237.0
2013/152-15:30:00      259.0
2013/152-15:40:00      290.6
2013/152-15:50:00      308.5
2013/152-16:00:00      319.8
2013/152-16:10:00      310.4
2013/152-16:20:00      301.0
2013/152-16:30:00      288.1
2013/152-16:40:00      276.6
2013/152-16:50:00      263.1
2013/152-17:00:00      246.7
2013/152-17:10:00      225.5
2013/152-17:20:00      202.6
2013/152-17:30:00      181.9
2013/152-17:40:00      167.1
2013/152-17:50:00      156.4
2013/152-18:00:00      151.9
2013/152-18:10:00      145.7
2013/152-18:20:00      141.5
2013/152-18:30:00      139.7
2013/152-18:40:00      141.6
2013/152-18:50:00      144.4
2013/152-19:00:00      141.9
2013/152-19:10:00      138.6
2013/152-19:20:00      135.5
2013/152-19:30:00      143.4
2013/152-19:40:00      146.8
2013/152-19:50:00      155.9
2013/152-20:00:00      168.1
2013/152-20:10:00      186.4
2013/152-20:20:00      207.2
2013/152-20:30:00      233.1
2013/152-20:40:00      251.9
2013/152-20:50:00      258.1
2013/152-21:00:00      255.3
2013/152-21:10:00      255.2
2013/152-21:20:00      262.4
2013/152-21:30:00      275.2
2013/152-21:40:00      295.8
2013/152-21:50:00      300.6
2013/152-22:00:00      317.1
2013/152-22:10:00      319.1
2013/152-22:20:00      311.5
2013/152-22:30:00      296.8
2013/152-22:40:00      284.7
2013/152-22:50:00      277.1
2013/152-23:00:00      275.2
2013/152-23:10:00      294.9
2013/152-23:20:00      300.5
2013/152-23:30:00      305.6
2013/152-23:40:00      318.8
2013/152-23:50:00      335.6
2013/153-00:00:00      355.0
2013/153-00:10:00      382.0
2013/153-00:20:00      406.6
2013/153-00:30:00      410.0
2013/153-00:40:00      391.2
2013/153-00:50:00      359.4
2013/153-01:00:00      333.1
2013/153-01:10:00      306.3
2013/153-01:20:00      279.1
2013/153-01:30:00      253.7
2013/153-01:40:00      229.2
2013/153-01:50:00      215.9
2013/153-02:00:00      209.5
2013/153-02:10:00      219.6
2013/153-02:20:00      270.7
2013/153-02:30:00      307.6
2013/153-02:40:00      370.5
2013/153-02:50:00      390.1
2013/153-03:00:00      463.0
2013/153-03:10:00      462.9
2013/153-03:20:00      446.7
2013/153-03:30:00      403.1
2013/153-03:40:00      389.6
2013/153-03:50:00      360.3
2013/153-04:00:00      341.4
2013/153-04:10:00      367.0
2013/153-04:20:00      447.1
2013/153-04:30:00      524.1
2013/153-04:40:00      590.9
2013/153-04:50:00      625.2
2013/153-05:00:00      634.1
2013/153-05:10:00      598.0
2013/153-05:20:00      566.5
2013/153-05:30:00      525.7
2013/153-05:40:00      481.9
2013/153-05:50:00      427.6
2013/153-06:00:00      380.4
2013/153-06:10:00      374.9
2013/153-06:20:00      353.6
2013/153-06:30:00      296.2
2013/153-06:40:00      249.5
2013/153-06:50:00      226.2
2013/153-07:00:00      207.8
2013/153-07:10:00      198.9
2013/153-07:20:00      189.7
2013/153-07:30:00      174.2
2013/153-07:40:00      159.4
2013/153-07:50:00      150.2
2013/153-08:00:00      151.1
2013/153-08:10:00      190.4
2013/153-08:20:00      265.7
2013/153-08:30:00      358.9
2013/153-08:40:00      446.0
2013/153-08:50:00      515.4
2013/153-09:00:00      570.3
2013/153-09:10:00      605.6
2013/153-09:20:00      620.8
2013/153-09:30:00      626.7
2013/153-09:40:00      637.0
2013/153-09:50:00      647.3
2013/153-10:00:00      645.5
2013/153-10:10:00      645.5
2013/153-10:20:00      639.1
2013/153-10:30:00      628.3
2013/153-10:40:00      618.5
2013/153-10:50:00      613.0
2013/153-11:00:00      602.4
2013/153-11:10:00      590.4
2013/153-11:20:00      527.2
2013/153-11:30:00      466.2
2013/153-11:40:00      416.8
2013/153-11:50:00      385.1
2013/153-12:00:00      339.7
2013/153-12:10:00      295.6
2013/153-12:20:00      262.8
2013/153-12:30:00      248.4
2013/153-12:40:00      222.9
2013/153-12:50:00      196.5
2013/153-13:00:00      173.0
2013/153-13:10:00      156.4
2013/153-13:20:00      144.2
2013/153-13:30:00      134.4
2013/153-13:40:00      158.4
2013/153-13:50:00      146.4
2013/153-14:00:00      136.2
2013/153-14:10:00      124.2
2013/153-14:20:00      124.4
2013/153-14:30:00      120.6
2013/153-14:40:00      126.1
2013/153-14:50:00      162.1
2013/153-15:00:00      232.4
2013/153-15:10:00      298.1
2013/153-15:20:00      340.7
2013/153-15:30:00      335.2
2013/153-15:40:00      341.6
2013/153-15:50:00      343.7
2013/153-16:00:00      362.9
2013/153-16:10:00      386.6
2013/153-16:20:00      354.4
2013/153-16:30:00      316.9
2013/153-16:40:00      288.4
2013/153-16:50:00      277.2
2013/153-17:00:00      249.6
2013/153-17:10:00      223.3
2013/153-17:20:00      207.5
2013/153-17:30:00      189.8
2013/153-17:40:00      168.3
2013/153-17:50:00      147.0
2013/153-18:00:00      130.8
2013/153-18:10:00      117.3
2013/153-18:20:00      106.0
2013/153-18:30:00       96.8
2013/153-18:40:00       89.0
2013/153-18:50:00       84.7
2013/153-19:00:00       85.3
2013/153-19:10:00      105.2
2013/153-19:20:00      136.5
2013/153-19:30:00      171.3
2013/153-19:40:00      215.6
2013/153-19:50:00      232.9
2013/153-20:00:00      255.7
2013/153-20:10:00      272.0
2013/153-20:20:00      289.2
2013/153-20:30:00      291.6
2013/153-20:40:00      269.2
2013/153-20:50:00      244.1
2013/153-21:00:00      221.3
2013/153-21:10:00      200.3
2013/153-21:20:00      176.6
2013/153-21:30:00      156.8
2013/153-21:40:00      140.2
2013/153-21:50:00      126.2
2013/153-22:00:00      114.3
2013/153-22:10:00      104.1
2013/153-22:20:00       96.1
2013/153-22:30:00       89.9
2013/153-22:40:00       85.4
2013/153-22:50:00       84.6
2013/153-23:00:00       86.6
2013/153-23:10:00      113.3
2013/153-23:20:00      137.3
2013/153-23:30:00      154.1
2013/153-23:40:00      173.2
2013/153-23:50:00      190.5
2013/154-00:00:00      200.1
2013/154-00:10:00      207.8
2013/154-00:20:00      222.1
2013/154-00:30:00      241.1
2013/154-00:40:00      246.5
2013/154-00:50:00      254.9
2013/154-01:00:00      239.0
2013/154-01:10:00      225.4
2013/154-01:20:00      217.2
2013/154-01:30:00      217.4
2013/154-01:40:00      196.8
2013/154-01:50:00      179.7
