      Time          Predicted AL
2018/121-00:09:23      -25.2
2018/121-00:19:23      -26.9
2018/121-00:29:23      -27.8
2018/121-00:39:23      -27.8
2018/121-00:49:23      -27.9
2018/121-00:59:23      -28.0
2018/121-01:09:23      -27.7
2018/121-01:19:23      -26.8
2018/121-01:29:23      -25.9
2018/121-01:39:23      -26.1
2018/121-01:49:23      -26.8
2018/121-01:59:23      -27.3
2018/121-02:09:23      -27.8
2018/121-02:19:23      -28.1
2018/121-02:29:23      -31.1
2018/121-02:39:23      -32.6
2018/121-02:49:23      -35.3
2018/121-02:59:23      -37.7
2018/121-03:09:23      -35.6
2018/121-03:19:23      -33.8
2018/121-03:29:23      -32.9
2018/121-03:39:23      -31.6
2018/121-03:49:23      -29.2
2018/121-03:59:23      -27.0
2018/121-04:09:23      -25.9
2018/121-04:19:23      -23.9
2018/121-04:29:23      -21.2
2018/121-04:39:23      -19.2
2018/121-04:49:23      -17.9
2018/121-04:59:23      -16.6
2018/121-05:09:23      -15.7
2018/121-05:19:23      -14.9
2018/121-05:29:23      -14.7
2018/121-05:39:23      -14.2
2018/121-05:49:23      -13.2
2018/121-05:59:23      -12.8
2018/121-06:09:23      -14.0
2018/121-06:19:23      -17.6
2018/121-06:29:23      -22.7
2018/121-06:39:23      -28.4
2018/121-06:49:23      -35.7
2018/121-06:59:23      -42.4
2018/121-07:09:23      -45.1
2018/121-07:19:23      -49.7
2018/121-07:29:23      -57.6
2018/121-07:39:23      -56.8
2018/121-07:49:23      -53.4
2018/121-07:59:23      -50.8
2018/121-08:09:23      -49.3
2018/121-08:19:23      -45.7
2018/121-08:29:23      -48.4
2018/121-08:39:23      -48.3
2018/121-08:49:23      -45.7
2018/121-08:59:23      -42.7
2018/121-09:09:23      -42.0
2018/121-09:19:23      -41.4
2018/121-09:29:23      -40.2
2018/121-09:39:23      -38.7
2018/121-09:49:23      -37.2
2018/121-09:59:23      -36.1
2018/121-10:09:23      -35.3
2018/121-10:19:23      -34.4
2018/121-10:29:23      -33.8
2018/121-10:39:23      -33.5
2018/121-10:49:23      -33.3
2018/121-10:59:23      -32.9
2018/121-11:09:23      -32.4
2018/121-11:19:23      -32.2
2018/121-11:29:23      -32.3
2018/121-11:39:23      -32.5
2018/121-11:49:23      -32.3
2018/121-11:59:23      -31.7
2018/121-12:09:23      -31.6
2018/121-12:19:23      -31.2
2018/121-12:29:23      -31.3
2018/121-12:39:23      -33.2
2018/121-12:49:23      -33.9
2018/121-12:59:23      -32.1
2018/121-13:09:23      -32.9
2018/121-13:19:23      -33.5
2018/121-13:29:23      -31.3
2018/121-13:39:23      -28.6
2018/121-13:49:23      -27.2
2018/121-13:59:23      -26.7
2018/121-14:09:23      -26.2
2018/121-14:19:23      -25.9
2018/121-14:29:23      -25.7
2018/121-14:39:23      -25.6
2018/121-14:49:23      -25.2
2018/121-14:59:23      -24.8
2018/121-15:09:23      -24.5
2018/121-15:19:23      -24.4
2018/121-15:29:23      -24.2
2018/121-15:39:23      -24.0
2018/121-15:49:23      -23.8
2018/121-15:59:23      -23.7
2018/121-16:09:23      -23.4
2018/121-16:19:23      -23.1
2018/121-16:29:23      -22.9
2018/121-16:39:23      -22.7
2018/121-16:49:23      -22.6
2018/121-16:59:23      -22.4
2018/121-17:09:23      -22.2
2018/121-17:19:23      -22.2
2018/121-17:29:23      -22.0
2018/121-17:39:23      -21.8
2018/121-17:49:23      -21.6
2018/121-17:59:23      -21.4
2018/121-18:09:23      -21.2
2018/121-18:19:23      -20.8
2018/121-18:29:23      -20.5
2018/121-18:39:23      -20.2
2018/121-18:49:23      -19.8
2018/121-18:59:23      -19.5
2018/121-19:09:23      -19.1
2018/121-19:19:23      -18.7
2018/121-19:29:23      -18.4
2018/121-19:39:23      -18.0
2018/121-19:49:23      -17.7
2018/121-19:59:23      -17.3
2018/121-20:09:23      -17.0
2018/121-20:19:23      -16.8
2018/121-20:29:23      -16.6
2018/121-20:39:23      -16.5
2018/121-20:49:23      -17.6
2018/121-20:59:23      -19.4
2018/121-21:09:23      -20.9
2018/121-21:19:23      -23.7
2018/121-21:29:23      -31.4
2018/121-21:39:23      -41.8
2018/121-21:49:23      -55.1
2018/121-21:59:23      -57.0
2018/121-22:09:23      -54.1
2018/121-22:19:23      -52.5
2018/121-22:29:23      -51.6
2018/121-22:39:23      -50.0
2018/121-22:49:23      -47.0
2018/121-22:59:23      -42.5
2018/121-23:09:23      -37.7
2018/121-23:19:23      -34.4
2018/121-23:29:23      -32.7
2018/121-23:39:23      -31.7
2018/121-23:49:23      -31.4
2018/121-23:59:23      -31.5
2018/122-00:09:23      -31.8
2018/122-00:19:23      -31.5
2018/122-00:29:23      -30.9
2018/122-00:39:23      -33.3
2018/122-00:49:23      -30.7
2018/122-00:59:23      -28.8
2018/122-01:09:23      -27.8
2018/122-01:19:23      -26.7
2018/122-01:29:23      -24.6
2018/122-01:39:23      -21.1
2018/122-01:49:23      -16.8
2018/122-01:59:23      -11.9
2018/122-02:09:23       -7.8
2018/122-02:19:23       -7.3
2018/122-02:29:23      -10.9
2018/122-02:39:23      -15.5
2018/122-02:49:23      -25.0
2018/122-02:59:23      -28.6
2018/122-03:09:23      -29.2
2018/122-03:19:23      -30.2
2018/122-03:29:23      -41.8
2018/122-03:39:23      -55.6
2018/122-03:49:23      -72.0
2018/122-03:59:23      -90.4
2018/122-04:09:23      -89.3
2018/122-04:19:23      -87.1
2018/122-04:29:23      -88.9
2018/122-04:39:23      -96.1
2018/122-04:49:23      -96.7
2018/122-04:59:23      -94.6
2018/122-05:09:23      -92.9
2018/122-05:19:23      -85.4
2018/122-05:29:23      -76.4
2018/122-05:39:23      -68.7
2018/122-05:49:23      -63.0
2018/122-05:59:23      -58.6
2018/122-06:09:23      -57.4
2018/122-06:19:23      -58.0
2018/122-06:29:23      -58.7
2018/122-06:39:23      -56.7
2018/122-06:49:23      -52.4
2018/122-06:59:23      -48.6
2018/122-07:09:23      -45.7
2018/122-07:19:23      -43.4
2018/122-07:29:23      -45.3
2018/122-07:39:23      -53.5
2018/122-07:49:23      -64.2
2018/122-07:59:23      -69.6
2018/122-08:09:23      -80.7
2018/122-08:19:23      -95.3
2018/122-08:29:23     -102.3
2018/122-08:39:23     -103.7
2018/122-08:49:23     -105.7
2018/122-08:59:23     -109.6
2018/122-09:09:23     -112.7
2018/122-09:19:23     -115.9
2018/122-09:29:23     -116.0
2018/122-09:39:23     -119.2
2018/122-09:49:23     -126.9
2018/122-09:59:23     -126.6
2018/122-10:09:23     -118.6
2018/122-10:19:23     -111.8
2018/122-10:29:23     -106.2
2018/122-10:39:23      -97.0
2018/122-10:49:23      -86.4
2018/122-10:59:23      -77.1
2018/122-11:09:23      -69.0
2018/122-11:19:23      -61.5
2018/122-11:29:23      -54.9
2018/122-11:39:23      -49.2
2018/122-11:49:23      -44.7
2018/122-11:59:23      -41.5
2018/122-12:09:23      -38.3
2018/122-12:19:23      -35.4
2018/122-12:29:23      -33.1
2018/122-12:39:23      -31.3
2018/122-12:49:23      -29.7
2018/122-12:59:23      -28.4
2018/122-13:09:23      -27.3
2018/122-13:19:23      -26.4
2018/122-13:29:23      -25.7
2018/122-13:39:23      -26.2
2018/122-13:49:23      -26.8
2018/122-13:59:23      -27.1
2018/122-14:09:23      -26.9
2018/122-14:19:23      -26.7
2018/122-14:29:23      -26.5
2018/122-14:39:23      -26.1
2018/122-14:49:23      -25.8
2018/122-14:59:23      -25.5
2018/122-15:09:23      -25.2
2018/122-15:19:23      -24.9
2018/122-15:29:23      -24.7
2018/122-15:39:23      -24.5
2018/122-15:49:23      -24.3
2018/122-15:59:23      -24.1
2018/122-16:09:23      -23.9
